PSTATABB,PNAME,LAT,LON,PLGENACL,PLGENAOL,PLGENAGS,PLGENANC,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOT
AK,7-Mile Ridge Wind Project,63.210689,-143.247156,,,,,,,,,,
AK,Agrium Kenai Nitrogen Operations,60.6732,-151.3784,,,,,,,,,,
AK,Alakanuk,62.6833,-164.6544,0,0,0,0,0,0,0,0,0,0
AK,Allison Creek Hydro,61.084444,-146.353333,0,0,0,0,"23,077",0,0,0,0,0
AK,Ambler,67.08798,-157.856719,0,"1,206",0,0,0,0,0,0,0,0
AK,Anchorage 1,61.2221,-149.8661,0,80,"28,857",0,0,0,0,0,0,0
AK,Angoon,57.499166,-134.58614,0,"1,653",0,0,0,0,0,0,0,0
AK,Aniak,61.580678,-159.535643,0,"2,174",0,0,0,0,0,0,0,0
AK,Annex Creek,58.3176,-134.101,0,0,0,0,"26,657",0,0,0,0,0
AK,Auke Bay,58.3875,-134.6446,0,-88,0,0,0,0,0,0,0,0
AK,Aurora Energy LLC Chena,64.847743,-147.735063,"177,819",0,0,0,0,0,0,0,0,0
AK,Barrow,71.292,-156.7786,0,2,"48,251",0,0,0,0,0,0,0
AK,Battery Energy Storage System,64.8167,-147.725,0,0,0,0,0,0,0,0,0,"-2,428"
AK,Beaver Falls,55.37975,-131.470269,0,0,0,0,"33,310",0,0,0,0,0
AK,Beluga,61.1861,-151.0356,0,0,"37,832",0,0,0,0,0,0,0
AK,Bernice Lake,60.6935,-151.3874,0,0,396,0,0,0,0,0,0,0
AK,Bethel,60.7897,-161.787778,0,"40,542",0,0,0,0,0,0,0,0
AK,Black Bear Lake,55.476472,-133.14772,0,0,0,0,"18,099",0,0,0,0,0
AK,Blue Lake Hydro,57.0516,-135.2297,0,0,0,0,"56,170",0,0,0,0,0
AK,Bradley Lake,59.77862,-150.94015,0,0,0,0,"404,479",0,0,0,0,0
AK,Brevig Mission,65.331716,-166.479506,0,"1,162",0,0,0,0,0,0,0,0
AK,Centennial,55.121433,-131.560267,0,"5,578",0,0,0,0,0,0,0,0
AK,Chester Lake,55.116879,-131.545879,0,0,0,0,"5,384",0,0,0,0,0
AK,Chevak,61.525297,-165.590152,0,"1,724",0,0,0,0,0,0,0,0
AK,Cooper Lake,60.392331,-149.665603,0,0,0,0,"59,832",0,0,0,0,0
AK,Craig (AK),55.47691,-133.14869,0,"2,349",0,0,0,0,0,0,0,0
AK,Delta Power,64.028056,-145.719444,0,-176,0,0,0,0,0,0,0,0
AK,Delta Wind Farm,64.013889,-145.596667,0,0,0,0,0,0,"4,498",0,0,0
AK,Dillingham,59.042914,-158.468597,0,"19,005",0,0,0,0,0,0,0,0
AK,Dutch Harbor,53.892459,-166.538185,0,"54,364",0,0,0,0,0,0,0,0
AK,Eielson AFB Central Heat & Power Plant,64.67141,-147.075988,"67,619",131,0,0,0,0,0,0,0,0
AK,Eklutna Generation Station,61.457778,-149.351389,0,0,"614,791",0,0,0,0,0,0,0
AK,Eklutna Hydro Project,61.475211,-149.15009,0,0,0,0,"168,115",0,0,0,0,0
AK,Elim,64.616558,-162.263717,0,"1,316",0,0,0,0,0,0,0,0
AK,Emmonak,62.777694,-164.531517,0,"5,347",0,0,0,0,0,0,0,0
AK,ESS Battery Microgrid,57.799167,-152.404167,0,0,0,0,0,0,0,0,0,-240
